player,team,salary
Ty Jerome,CLE,2560975
Julian Strawther,DEN,2552520
Terrence Shannon Jr.,MIN,2546640
Wendell Moore Jr.,DET,2537040
Kobe Brown,LAC,2533920
Ryan Dunn,PHO,2530800
Isaiah Collier,UTA,2512680
Baylor Scheierman,BOS,2494320
Paul Reed,DET,3913234
Nikola Jovic,MIA,2464200
Cam Reddish,LAL,2463946
Jaxson Hayes,LAL,2463946
Patrick Baldwin Jr.,SAS,2448840
DaQuan Jeffries,CHO,2425404
Peyton Watson,DEN,2413560
Kevin Porter Jr.,MIL,3366937
Russell Westbrook,UTA,5631296
Charlie Brown Jr.,CHO,2237692
Xavier Tillman Sr.,BOS,2237691
Anthony Gill,WAS,2237691
James Wiseman,TOR,2237691
Garrison Mathews,ATL,2230253
JaVale McGee,DAL,2208856
Jeremiah Robinson-Earl,NOP,2196970
Lindy Waters III,DET,2196970
Dalano Banton,POR,2196970
Sam Merrill,CLE,2164993
Duane Washington Jr.,CHO,2162607
Luka Garza,MIN,2162606
Keon Johnson,BRK,2162606
Neemias Queta,BOS,2162606
Vit Krejci,ATL,2162606
Vince Williams Jr.,MEM,2120693
Colby Jones,WAS,2120693
Keon Ellis,SAC,2120693
A.J. Green,MIL,2120693
Sam Hauser,BOS,2092344
Jericho Sims,MIL,2092344
Jay Huff,MEM,2088033
Tyler Kolek,NYK,2087519
Scotty Pippen Jr.,MEM,2087519
Reggie Jackson,WAS,4033748
Alex Len,WAS,2831348
Mo Bamba,UTA,2207491
Garrett Temple,TOR,2087519
Charles Bassey,SAS,2087519
Jordan McLaughlin,SAS,2087519
Sandro Mamukelashvili,SAS,2087519
Doug McDermott,SAC,2087519
Tyus Jones,PHO,2087519
Bol Bol,PHO,2087519
Monte Morris,PHO,2087519
Mason Plumlee,PHO,2087519
Damion Lee,PHO,2087519
Guerschon Yabusele,PHI,2087519
Kyle Lowry,PHI,2087519
Daniel Theis,OKC,2087519
Cameron Payne,NYK,2087519
Delon Wright,NYK,2087519
Joe Ingles,MIN,2087519
Gary Trent Jr.,MIL,2087519
Taurean Prince,MIL,2087519
Alec Burks,MIA,2087519
Markieff Morris,LAL,2087519
Patty Mills,LAC,2087519
James Johnson,IND,2087519
Thomas Bryant,IND,2087519
DeAndre Jordan,DEN,2087519
Vlatko Cancar,DEN,2087519
Spencer Dinwiddie,DAL,2087519
Tristan Thompson,CLE,2087519
Seth Curry,CHO,2087519
Taj Gibson,CHO,2087519
Talen Horton-Tucker,CHI,2087519
Luke Kornet,BOS,2087519
Duop Reath,POR,2048780
Andrew Nembhard,IND,2019699
Jaden Hardy,DAL,2019699
Jabari Walker,POR,2019699
Caleb Houstan,ORL,2019699
Jaylin Williams,OKC,2019699
Josh Minott,MIN,2019699
Kennedy Chandler,MEM,2019699
Jose Alvarado,NOP,1988598
Reggie Jackson,CHO,4033748
Ricky Council IV,PHI,1891857
GG Jackson II,MEM,1891857
Jalen Pickett,DEN,1891857
Hunter Tyson,DEN,1891857
Julian Phillips,CHI,1891857
Jordan Walsh,BOS,1891857
Sidy Cissoko,WAS,1891857
Toumani Camara,POR,1891857
Rayan Rupert,POR,1891857
Leonard Miller,MIN,1891857
Chris Livingston,MIL,1891857
Andre Jackson Jr.,MIL,1891857
Trayce Jackson-Davis,GSW,1891857
Gui Santos,GSW,1891857
Craig Porter Jr.,CLE,1891857
Maxwell Lewis,BRK,1891857
Jalen Wilson,BRK,1891857
Mouhamed Gueye,ATL,1891857
Jonathan Mogbo,TOR,1862265
Jamal Shead,TOR,1862265
Johnny Furphy,IND,1850842
Pacome Dadiet,NYK,1808080
Justin Champagnie,WAS,1800000
Javonte Green,NOP,2328350
Jae Crowder,SAC,1655619
Karlo Matkovic,NOP,1407153
Landry Shamet,NYK,1343690
Eric Bledsoe,POR,1300000
Bobi Klintman,DET,1257153
Tyler Smith,MIL,1157153
Oso Ighodaro,PHO,1157153
Jaylen Wells,MEM,1157153
Bronny James,LAL,1157153
Cam Christie,LAC,1157153
Adem Bona,PHI,1157153
Antonio Reeves,NOP,1157153
Pelle Larsson,MIA,1157153
Bruno Fernando,TOR,1115128
Ariel Hukporti,NYK,1064049
PJ Dozier,MIN,1051255
Jordan Miller,LAC,1050000
Jamison Battle,TOR,1000000
Kevin Porter Jr.,OKC,3366937
Joshua Primo,LAC,1000000
Orlando Robinson,SAC,1691610
Moussa Diabate,CHO,957763
Lonnie Walker IV,PHI,780932
Torrey Craig,BOS,3625162
Ben Simmons,LAC,40011909
Jared Butler,PHI,745726
Alex Len,LAL,2831348
Markelle Fultz,SAC,731831
Keshad Johnson,MIA,724883
E.J. Liddell,PHO,706898
Nik Stauskas,IND,702310
