player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Dorian Finney-Smith,2TM,PF,63,1818.0,549.0,90.0,247.0,14924167,Starter,10.1,0.604,2.9,-1.0,0.5
Onyeka Okongwu,ATL,C,74,2064.0,988.0,168.0,660.0,14000000,Starter,19.0,0.634,7.2,1.3,1.7
Naz Reid,MIN,C,80,2200.0,1138.0,181.0,480.0,13986432,Starter,15.8,0.577,5.7,1.6,2.0
Cade Cunningham,DET,PG,70,2452.0,1830.0,638.0,425.0,13940809,Starter,20.6,0.565,5.9,3.9,3.7
Daniel Gafford,DAL,C,57,1226.0,701.0,80.0,388.0,13394160,Starter,24.7,0.716,5.9,3.8,1.8
Dennis Schroder,3TM,PG,75,2105.0,980.0,404.0,198.0,13025250,Starter,12.7,0.531,3.2,-2.2,-0.1
Isaiah Joe,OKC,SG,74,1604.0,756.0,119.0,196.0,12991650,Starter,14.0,0.617,5.1,1.3,1.4
Austin Reaves,LAL,SG,73,2550.0,1475.0,421.0,329.0,12976362,Starter,18.1,0.616,7.6,1.9,2.6
Obi Toppin,IND,PF,79,1545.0,833.0,128.0,318.0,12975000,Starter,17.4,0.642,4.3,1.7,1.4
Cole Anthony,ORL,PG,67,1234.0,630.0,191.0,204.0,12900000,Starter,14.2,0.531,2.0,0.1,0.7
Kelly Olynyk,2TM,C,44,891.0,384.0,128.0,206.0,12804878,Starter,14.9,0.609,1.7,-0.7,0.3
Victor Wembanyama,SAS,C,46,1527.0,1116.0,168.0,506.0,12768960,Starter,24.2,0.594,3.8,6.5,3.3
Josh Green,CHO,SG,68,1887.0,506.0,108.0,172.0,12654321,Starter,7.8,0.559,1.5,-4.3,-1.1
Steven Adams,HOU,C,58,794.0,225.0,66.0,327.0,12600000,Starter,16.6,0.541,2.3,0.3,0.5
Bobby Portis,MIL,PF,49,1244.0,680.0,104.0,411.0,12578286,Starter,17.7,0.542,2.7,0.2,0.7
Zaccharie Risacher,ATL,SF,75,1843.0,942.0,92.0,268.0,12569040,Starter,12.2,0.558,1.8,-3.5,-0.7
Brandon Clarke,MEM,PF,64,1207.0,534.0,66.0,326.0,12500000,Starter,17.6,0.638,4.4,0.8,0.9
Jalen Green,HOU,SG,82,2697.0,1723.0,282.0,377.0,12483048,Starter,15.1,0.544,5.1,0.5,1.7
Paolo Banchero,ORL,PF,46,1582.0,1191.0,219.0,345.0,12160800,Starter,20.0,0.551,3.5,3.5,2.2
Coby White,CHI,SG,74,2450.0,1509.0,330.0,273.0,12000000,Role Player,15.5,0.601,4.5,-0.9,0.7
Wendell Carter Jr.,ORL,C,68,1758.0,618.0,134.0,492.0,11950000,Role Player,13.7,0.544,4.6,-1.2,0.3
Ivica Zubac,LAC,C,80,2624.0,1340.0,214.0,1010.0,11743210,Role Player,22.3,0.641,11.7,3.1,3.4
Donte DiVincenzo,MIN,SG,62,1606.0,723.0,225.0,228.0,11445000,Role Player,14.1,0.582,3.9,1.9,1.6
Terance Mann,2TM,SG,67,1414.0,517.0,121.0,199.0,11423077,Role Player,12.0,0.584,3.0,-1.3,0.2
Evan Mobley,CLE,PF,71,2167.0,1316.0,226.0,659.0,11227657,Role Player,22.3,0.633,9.0,4.6,3.6
Aaron Nesmith,IND,SF,45,1123.0,541.0,54.0,178.0,11000000,Role Player,14.6,0.653,2.9,-0.5,0.4
Gabe Vincent,LAL,PG,72,1527.0,460.0,98.0,92.0,11000000,Role Player,7.4,0.536,1.3,-4.0,-0.8
Chris Boucher,TOR,PF,50,862.0,502.0,33.0,224.0,10810000,Role Player,18.7,0.615,2.7,2.3,0.9
Aaron Wiggins,OKC,SG,76,1744.0,914.0,134.0,295.0,10514017,Role Player,16.1,0.596,5.4,1.1,1.4
Chris Paul,SAS,PG,82,2292.0,723.0,605.0,296.0,10460000,Role Player,14.7,0.58,5.7,0.8,1.6
Scoot Henderson,POR,PG,66,1759.0,837.0,335.0,198.0,10259160,Role Player,12.5,0.54,1.8,-2.2,-0.1
Isaac Okoro,CLE,SG,55,1053.0,337.0,68.0,130.0,10185186,Role Player,10.7,0.587,2.5,-0.5,0.4
Scottie Barnes,TOR,PF,65,2134.0,1252.0,378.0,502.0,10130980,Role Player,17.8,0.523,3.5,2.4,2.3
Mike Conley,MIN,PG,71,1756.0,582.0,319.0,182.0,9975962,Role Player,13.3,0.573,5.2,1.2,1.4
Jonas Valanciunas,2TM,C,81,1524.0,843.0,164.0,627.0,9900000,Role Player,20.8,0.602,4.3,0.6,1.0
Alex Caruso,OKC,SG,54,1041.0,382.0,137.0,159.0,9890000,Role Player,15.9,0.568,3.9,4.0,1.6
Jabari Smith Jr.,HOU,PF,57,1716.0,698.0,60.0,399.0,9770880,Role Player,12.6,0.562,4.2,-0.7,0.6
Derrick Jones Jr.,LAC,SF,77,1873.0,781.0,60.0,263.0,9523810,Role Player,13.5,0.609,4.7,-0.3,0.8
Al Horford,BOS,C,60,1659.0,538.0,128.0,369.0,9500000,Role Player,12.9,0.563,4.4,1.2,1.3
Pat Connaughton,MIL,SG,41,603.0,216.0,70.0,109.0,9423869,Role Player,12.1,0.567,1.2,-2.3,0.0
Royce O'Neale,PHO,SF,75,1837.0,680.0,163.0,349.0,9375000,Role Player,12.6,0.585,2.8,0.1,1.0
T.J. McConnell,IND,PG,79,1415.0,720.0,351.0,193.0,9300000,Role Player,18.4,0.547,3.2,1.2,1.2
Luke Kennard,MEM,SG,65,1472.0,576.0,215.0,183.0,9250000,Role Player,13.6,0.631,3.9,1.1,1.2
Amen Thompson,HOU,SF,69,2225.0,970.0,265.0,564.0,9249960,Role Player,18.7,0.602,8.0,4.1,3.4
Gary Payton II,GSW,SG,62,927.0,400.0,83.0,185.0,9130000,Role Player,16.2,0.635,3.0,1.4,0.8
Stephon Castle,SAS,PG,81,2162.0,1190.0,332.0,297.0,9105120,Role Player,13.7,0.522,1.1,-3.2,-0.6
Tre Jones,2TM,PG,46,905.0,330.0,192.0,116.0,9104167,Role Player,16.3,0.617,2.9,1.5,0.8
Goga Bitadze,ORL,C,70,1430.0,502.0,137.0,463.0,9057971,Role Player,19.2,0.631,5.8,2.5,1.6
Zeke Nnaji,DEN,PF,57,608.0,184.0,23.0,90.0,8888889,Role Player,12.0,0.574,1.2,-1.3,0.1
Keegan Murray,SAC,PF,76,2610.0,942.0,109.0,507.0,8809560,Role Player,12.0,0.553,4.4,-1.6,0.2
Buddy Hield,GSW,SG,82,1863.0,912.0,134.0,264.0,8780488,Role Player,12.3,0.56,2.8,-1.0,0.5
Kyle Anderson,2TM,PF,61,1002.0,357.0,145.0,206.0,8780488,Role Player,15.1,0.538,2.8,1.5,0.9
Naji Marshall,DAL,SF,69,1919.0,914.0,208.0,328.0,8571429,Role Player,15.1,0.584,3.5,-0.8,0.6
Jalen Smith,CHI,C,64,962.0,524.0,65.0,357.0,8571429,Role Player,18.7,0.586,2.9,0.9,0.7
Georges Niang,2TM,PF,79,1697.0,784.0,111.0,272.0,8500000,Role Player,11.2,0.607,2.9,-2.3,-0.1
Ausar Thompson,DET,SF,59,1328.0,594.0,134.0,303.0,8376000,Role Player,17.2,0.568,3.8,1.7,1.2
Josh Giddey,CHI,PG,70,2117.0,1022.0,503.0,566.0,8352367,Role Player,18.1,0.57,5.3,3.0,2.7
Ron Holland,DET,SF,81,1266.0,522.0,82.0,218.0,8245320,Role Player,11.1,0.556,1.8,-3.0,-0.3
Cody Martin,2TM,SF,53,1173.0,358.0,105.0,224.0,8120000,Role Player,11.3,0.509,1.3,-1.7,0.1
Jock Landale,HOU,C,42,500.0,200.0,37.0,137.0,8000000,Role Player,16.0,0.59,1.7,0.4,0.3
Trey Lyles,SAC,PF,69,1349.0,451.0,82.0,316.0,8000000,Role Player,12.3,0.551,2.6,-0.7,0.4
Kevon Looney,GSW,C,76,1142.0,344.0,118.0,462.0,8000000,Role Player,17.0,0.535,4.3,0.3,0.7
Kelly Oubre Jr.,PHI,SF,60,2078.0,906.0,108.0,368.0,7983000,Role Player,13.5,0.551,2.6,-2.3,-0.1
KJ Martin,2TM,PF,43,912.0,274.0,48.0,125.0,7975000,Role Player,10.2,0.618,1.3,-3.6,-0.4
Simone Fontecchio,DET,SF,75,1237.0,446.0,65.0,215.0,7692308,Role Player,9.7,0.544,1.6,-2.9,-0.3
Jonathan Kuminga,GSW,PF,47,1144.0,719.0,104.0,217.0,7636307,Role Player,15.7,0.535,1.9,-0.6,0.4
Anthony Black,ORL,PG,78,1887.0,736.0,240.0,230.0,7607760,Role Player,11.6,0.521,2.4,-1.9,0.0
Jae'Sean Tate,HOU,SF,52,588.0,188.0,47.0,117.0,7565217,Role Player,12.3,0.557,1.6,-0.7,0.2
Gary Harris,ORL,SG,48,711.0,145.0,30.0,64.0,7500000,Role Player,6.9,0.524,1.0,-2.7,-0.1
Bennedict Mathurin,IND,SF,72,2149.0,1156.0,136.0,383.0,7245720,Role Player,13.6,0.579,3.0,-2.9,-0.5
